invoice_no,line_no,item_code,item_name,unit,qty,unit_price_field,pct1,pct2,line_total,source_file
9681,2,104,برجر الهنا 400 جرام,طبق,300,28.50,0.00,17,7096.50,فواتير المبيعات من 112025 الى 3152026.md
9681,3,108,سجق الهنا 350,طبق,75,30.00,0.00,17,1867.50,فواتير المبيعات من 112025 الى 3152026.md
9683,1,346,بانية 800 جرام,طبق,2,50.00,0.00,0,100,فواتير المبيعات من 112025 الى 3152026.md
9683,2,120,برجر الهنا 900 جرام,طبق,5,45.00,0.00,0,225,فواتير المبيعات من 112025 الى 3152026.md
9684,1,102,كفته الهنا 350,طبق,45,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9685,1,101,كفته الهنا 800 جرام,طبق,12,56.00,0.00,10,604.80,فواتير المبيعات من 112025 الى 3152026.md
9686,1,257,سجق الهنا 5 كيلو,طبق,2,300.00,0.00,0,600,فواتير المبيعات من 112025 الى 3152026.md
9686,2,120,برجر الهنا 900 جرام,طبق,36,58.50,0.00,15,1790.10,فواتير المبيعات من 112025 الى 3152026.md
9686,3,104,برجر الهنا 400 جرام,طبق,45,28.50,0.00,15,1090.12,فواتير المبيعات من 112025 الى 3152026.md
9686,4,102,كفته الهنا 350,طبق,45,27.50,0.00,15,1051.88,فواتير المبيعات من 112025 الى 3152026.md
9686,5,108,سجق الهنا 350,طبق,30,30.00,0.00,15,765.00,فواتير المبيعات من 112025 الى 3152026.md
9686,6,101,كفته الهنا 800 جرام,طبق,12,56.00,0.00,15,571.20,فواتير المبيعات من 112025 الى 3152026.md
9687,1,99,سجق الهنا 800 جرام,طبق,24,61.00,0.00,17,1215.12,فواتير المبيعات من 112025 الى 3152026.md
9687,2,102,كفته الهنا 350,طبق,15,27.50,0.00,17,342.38,فواتير المبيعات من 112025 الى 3152026.md
9688,1,120,برجر الهنا 900 جرام,طبق,120,58.50,0.00,17,5826.60,فواتير المبيعات من 112025 الى 3152026.md
9689,1,346,بانية 800 جرام,طبق,1,50.00,0.00,0,50,فواتير المبيعات من 112025 الى 3152026.md
9689,2,270,برجر اسبشيال,طبق,1,55.00,0.00,0,55,فواتير المبيعات من 112025 الى 3152026.md
9690,1,257,سجق الهنا 5 كيلو,طبق,5,300.00,0.00,0,1500,فواتير المبيعات من 112025 الى 3152026.md
9690,2,101,كفته الهنا 800 جرام,طبق,420,56.00,0.00,17,19521.60,فواتير المبيعات من 112025 الى 3152026.md
9690,3,120,برجر الهنا 900 جرام,طبق,180,58.50,0.00,17,8739.90,فواتير المبيعات من 112025 الى 3152026.md
9690,4,108,سجق الهنا 350,طبق,300,30.00,0.00,17,7470.00,فواتير المبيعات من 112025 الى 3152026.md
9690,5,102,كفته الهنا 350,طبق,225,27.50,0.00,17,5135.62,فواتير المبيعات من 112025 الى 3152026.md
9690,6,104,برجر الهنا 400 جرام,طبق,225,28.50,0.00,17,5322.38,فواتير المبيعات من 112025 الى 3152026.md
9690,7,346,بانية 800 جرام,طبق,60,50.00,0.00,0,3000,فواتير المبيعات من 112025 الى 3152026.md
9691,1,1,مفروم صافى 400 جم,طبق,2,75.00,0.00,0,150,فواتير المبيعات من 112025 الى 3152026.md
9691,2,114,كفته ابو هاشم 800,طبق,1,85.00,0.00,0,85,فواتير المبيعات من 112025 الى 3152026.md
9691,3,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,1,300.00,0.00,0,300,فواتير المبيعات من 112025 الى 3152026.md
9691,4,255,برجر ابو هاشم جامبو 1.5 كيلو,طبق,3,150.00,0.00,0,450,فواتير المبيعات من 112025 الى 3152026.md
9691,5,12,مفروم 3 كيلو,كيس 3 كيلو,1,600.00,0.00,0,600,فواتير المبيعات من 112025 الى 3152026.md
9692,1,102,كفته الهنا 350,طبق,90,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9693,1,108,سجق الهنا 350,طبق,225,30.00,0.00,17,5602.50,فواتير المبيعات من 112025 الى 3152026.md
9693,2,104,برجر الهنا 400 جرام,طبق,225,28.50,0.00,17,5322.38,فواتير المبيعات من 112025 الى 3152026.md
9693,3,102,كفته الهنا 350,طبق,225,27.50,0.00,17,5135.62,فواتير المبيعات من 112025 الى 3152026.md
9693,4,346,بانية 800 جرام,طبق,60,50.00,0.00,0,3000,فواتير المبيعات من 112025 الى 3152026.md
9694,1,101,كفته الهنا 800 جرام,طبق,48,56.00,0.00,15,2284.8,فواتير المبيعات من 112025 الى 3152026.md
9694,2,102,كفته الهنا 350,طبق,60,27.50,0.00,15,1402.5,فواتير المبيعات من 112025 الى 3152026.md
9694,3,120,برجر الهنا 900 جرام,طبق,24,58.50,0.00,15,1193.4,فواتير المبيعات من 112025 الى 3152026.md
9694,4,104,برجر الهنا 400 جرام,طبق,30,28.50,0.00,15,726.75,فواتير المبيعات من 112025 الى 3152026.md
9694,5,346,بانية 800 جرام,طبق,48,50.00,0.00,0,2400,فواتير المبيعات من 112025 الى 3152026.md
9695,1,102,كفته الهنا 350,طبق,45,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9696,1,257,سجق الهنا 5 كيلو,طبق,1,320.00,0.00,0,320,فواتير المبيعات من 112025 الى 3152026.md
9697,1,120,برجر الهنا 900 جرام,طبق,60,58.50,0.00,17,2913.30,فواتير المبيعات من 112025 الى 3152026.md
9697,2,101,كفته الهنا 800 جرام,طبق,60,56.00,0.00,17,2788.80,فواتير المبيعات من 112025 الى 3152026.md
9697,3,108,سجق الهنا 350,طبق,75,30.00,0.00,17,1867.50,فواتير المبيعات من 112025 الى 3152026.md
9697,4,346,بانية 800 جرام,طبق,12,50.00,0.00,0,600,فواتير المبيعات من 112025 الى 3152026.md
9697,5,257,سجق الهنا 5 كيلو,طبق,2,300.00,0.00,0,600,فواتير المبيعات من 112025 الى 3152026.md
